,content
548,叶轻眉这个人，想想也确实挺让人唏嘘的。她是极其强大的，又是极其孤独的。她是那个陌生的世界的过客。她的朋友、战友，对她来说是真实的存在吗？对庆帝，又是一种什么样的感情呢？虽然庆帝的权势和武力值都是拜叶轻眉所赐，但应该也是她在那个异世遇见的可算是惊才绝艳的一个男子了。一起战斗过、为同一个目标奋斗过，两人之间总是有某种情愫的。可是冷静如她，还是能够清醒感知到两人之间意识形态的巨大差异。这种历史维度不同而造成的不可调和的矛盾，使她不能全心全意的爱上这个男子，否则也不会只是下个药借个种而已；也为日后的杀身之祸早早埋下了种子。
549,庆余年中，作者把穿越者的不同处事态度做了个有趣的对比，叶轻眉和范闲这对母子，同是穿越到异世之人，做法却截然不同。与范闲相比，叶轻眉更像一个游戏玩家，在她身上，我看不到恐惧和畏缩，只有世界尽在掌握的自信和挥斥方遒的魄力，反倒没把自身的安危作为最高的考量。感觉她没有真正在生活，虽然有着普世的悲悯之心，但是跟这个世界始终有一种疏离感，没有办法真正爱上一个人。范闲就更有在夹缝中求生存的真实感，可以说是真正活在了这个异世。他小心翼翼的隐藏自己的真心，不断地磨练自己提高自己。不论是在江湖还是朝堂，都深谙尔虞我诈、韬光养晦之术。这才是社畜的生存之道呀。
550,叶轻眉在小说中未曾露面，只存在于人们的只言片语中， 却给我留下了最深刻的印象和思考。作为一个有实干精神的穿越女，她的功绩确实令人咂舌。她垄断先进技术，开设玻璃肥皂作坊，创建了自己的庞大产业；她买卖军火、开办水师、狙杀政敌，辅佐世子上位；她改革政体、设立监察院、希望建立君主立宪制的民主体制；她倡导的内库已经具有了国家资本主义的雏形。这一切风风火火、摧枯拉朽、畅快淋漓，但她却还是被各种势力联手谋害，难逃一死。我觉得她不是输给了任何人，而是败给了历史的局限性。不论人类的历史再推到重来多少次，历史的车轮还是要循着原始社会、奴隶社会、封建社会、资本主义、共产主义的发展脉络行进。超越时代的先进生产力和进步思想，不合时宜地出现在封建社会，必然会跟君主集权制度发生致命的冲突，以一己之力是冒进不来的。
551,小说中的穿越者面对陌生的世界会选择不同的生存模式，有的大刀阔斧的改造世界乃至大动兵戈、有的低眉敛目隐藏身份小心过活。这或许取决于跟穿越者所掌握的自身技能。 叶轻眉就属于前者，而且是一位令人钦佩的一往无前、勇于冒险的女性穿越者。她拥有绝对的技术优势和对这个世界以及神庙的本质的认知，她拥有自由的精神和对天下人的悲悯，她拥有重塑世界的勇气和实干精神。她的一切努力都是为了打造一个理想的国度， 让每个人成为“不羁之民”。
552,本来对于网文期望不高，但是这个豆瓣评分8.5的成绩怎么来的？绿茶男主杰克苏+全文无脑的女人们……对于男性的认识实在中二，对于女性的认识实在浅薄。只看了12%，及时止损。
553,读这种架空类小说也是蛮奇幻的，喜欢这个小说的局，也喜欢书中人名地名诗词借用的巧妙，但觉得文笔情节展开有些平淡和冗长，时而精彩，时而单调。总之很佩服作者的架构能力。
554,这是我接触的猫腻第一本小说，引人入胜，从此入坑。
555,大概是看过最长的网络小说，看的欲罢不能废寝忘食的，真是非常精彩！
556,还以為会走符師路线
557,真的，猫腻有问题。
558,算得太多反而无趣，范闲也越来越无趣。
559,猫腻🐮🍺，但是不是很喜欢主角，喜欢海棠小姐姐的性格
560,第一卷好像主要是在澹州做铺垫，不过读起来也挺有味的
561,不敢看评价，怕被剧透
562,网络小说里面的佳作
563,烂尾，烂尾，烂尾，不能忍
564,有趣的书，事实证明书的好坏完全在于驾驭文字的人，看的充满乐趣。
565,电子版全文。
566,不行了，要吐了。翻到范家姐弟讨论海棠和嫂子我就吐了。巧妙的设计是，范若偏向考虑她哥感情，弟弟觉得嫂子可怜🤮男频yy文现在也该被淘汰了
567,写写就变成种马文了
568,好书，除了林依晨有点恶趣味。
569,一百句有九十九句废话，高手过招如过家家。
570,当年看，觉得脑洞很大。
571,那些打低分的怕是看的都是无脑小说
572,猫腻的剧情过度，大场景的梳理和填坑的扎实程度真的让人看得很爽
573,网络小说中的神作
574,有的地方金手指太大
575,看完这本，再看不下类似的历史小说了
576,多年前看的，印象中首先是爽（主角光环、打怪升级），其次是文笔不错，再次是跟历史的勾连让故事整体比较大气。
577,得有十年没看过网络小说了，真的超级好看！
578,术后卧床用来打发时间。开篇平淡，中段佳，最后无法自圆其说。作者文字功夫不错，只是网络小说靠字数赚钱，不仅冗余情节多，后三分之一啰嗦至令人厌烦不可忍。
579,居然有人给我推荐这个！文笔差到连说都不会话，开头都编不圆，忍不了读不下去，一星拜拜。
580,真心佩服猫腻的文笔，就是故事某些地方有小伤，瑕不掩瑜
581,故事情节引人入胜 只是到最后还是没解开很多的疑惑:费那么大的心思杀了亲爸爸，换了个也会猜疑的兄弟当皇帝，干嘛不自己当，更好?
582,庆余年6部已经看过一半了，读的有些累，作者的语言文字、逻辑条理都比一般的网文要好得多，但是对于文中大部分人物的三观实在不敢苟同，可能这是所谓的男权与女权的对立？男主注定是要开金手指的，男主光环虽然能闪瞎人眼，不过在尔虞我诈的权谋之争这样一个大背景的笼罩下，也并不突兀。但是！范闲的种马行为实在有点难以接受，庆国郡主婉儿嫁之为妇、第一美女理理情陷至深、北齐小皇帝为他守身如玉、北齐圣女招即来之终身不嫁，更别说其他的甲乙丙丁的美人儿念之慕之，而小闲闲也将种马行为发挥至深，就差来者不拒了。。。的确，正如作者描述的，范闲他是一个自私的人，而我更为这些优秀的女孩子不争不闹，对于这个小范大人更是逆来顺受，哀其不怒，怒其不争罢了。
583,看了一小半，不知道为什么我总觉得这本是《紫川》后传，秀儿是你么？你不是不爱江山爱美人么？
584,评分那么高名不副实啊，所以是后面特别好看吗~
585,前段时间在读 汉乡，正好推荐了同类的这本，文字幽默风趣，正在读卷二了
586,这个小说是先在网上追的，追了好久，那时候超级喜欢！完了出书后又去买了书回来看。很久以前的事了，书现在都不知道放哪里去了。
587,看起来的一切，都是完美的身世可以自然而然获得的，然而开挂的人生同样有开挂的对手。最终一切都是要归于本心~猫腻的小心思很多
588,写书两年，看书半年，有些地方可能比较啰嗦无聊，总体感觉还不错，也没有烂尾，算是比较经典优秀的网文了。
589,故事不错，但男主金手指过于厉害，不太喜欢
590,好长，看了一个礼拜才看完。写的还不错，就是结尾有点差强人意
591,"断断续续半年内读完了，其实真要算起来是从一七年暑假看的
不管怎样 ，我只知道我也要想范闲一样，为自己，为身边的，努力一下"
592,可读可不读一类吧
594,猫腻的小说最好看的一部，后来写的就开始各种装逼了
595,这本书前半部分真的好看
596,谁也不能否认的是，范闲是妥妥的富二代，父母相当牛逼的那种。
597,高三那年班上同学至少有三分之一吧，都是靠着看庆余年度过课间休息时间的
598,明明就是个街边快餐店，却被低品位的读者吹成三星米其林。
599,网上看完
600,感觉应该是猫腻小说里最好的一部
601,没想到这个网络小说还分这么多本，不知不觉就看了第一本了，微信读书里面就是一个大本，所有的合在一起，没事翻开看看，挺不错的。
602,配角出彩，最美是已故的眉！
603,啧啧在同学录里力荐才看的，满分
604,如果不是电视剧，我真真都不会翻开看。大部分网文得通病，人物设定怎么牛叉怎么来，我不信一个普通人一穿越就变成超人，看得我都觉得脸红。
605,听说剧拍好了，复习一下小说
606,一般，不是我的点，还蛮喜欢林婉儿，男主无感，男主后面又要了大丫鬟，雷点
607,算是烂尾了。但一直到陈萍萍之死，还是值得称道的权谋和穿越小说。
608,"网络小说大多都是快餐式的小白文，但庆余年例外，里面有关于自由，信仰，责任，正义的解读，其实有很深的内涵。
猫腻的文笔又刚好介于唐家三少那种小学生水平和文青水平的烽火戏诸侯之间，最为友好。"
609,六星扣两星。不知道是不是敏感的原因，写出了事情指出了原因却不写出解决办法。所以到了精彩的地方完结了
610,反正第一卷也没多大惊喜吧
611,微信读书1万9k多页 冲着很多人说草蛇灰线内核深沉 坚持很久才看了将近3k页 按理说 再不吸引人的开头也该过去了 但至今依然看不进去 暂弃 架空穿越网文也是看过一些的 我发现我最不喜欢的类型就是这种神穿然后各种开大的设定 典型的直男YY小说
612,有点虎头蛇尾，在微信读书上读的，太长了
613,盛名难却
614,积余庆，庆余年；积阴功，得安之。
615,范闲啊啊啊
616,三星以下的真的不懂，书读得不多也不会读书的人 的确看不懂美好的字句
617,难负盛名。
618,"读了将夜，我给了5星，不知道是不是将夜涉及的内涵更深刻，每每阅读都会激动到手心冒汗，庆余年没有，真的没有，我只感觉到了前1/3的啰嗦，看惯了贴金的无后顾之忧的男主不断开挂，实在差点弃书，还好我看着还有65%以上没看，坚持再坚持~终于在皇城保卫战处找到了将夜那种震撼的感觉，但结束了以后又逐渐平淡了起来，连刺杀庆帝都觉得闷闷的，哎~总体而言，权谋文章我不爱，更喜欢诛仙，将夜这一类~
ps，陈萍萍死的时候，我哭了，唯一一次与范闲感同身受，期待张若钧，吴刚，陈道明，辛芷蕾，希望不要改太多，虽然预告里滕子京变成了范闲的好友，开场就死了……胆战心惊"
619,"统一放在本书评分
还是略有窠臼，创新不足，故事情节五大宗师略讨喜，男主无感"
620,可能是穿越的鼻祖，现在看来，太浅了
621,想象力不错，最大的boss是皇帝本人神庙是个史前军事博物馆。缺点是废话比较多。
622,还是不适合读这种快消文学，看了一会儿就不想看了。
623,猫腻比一般小白文的文字功底还是强很多，但情节设置感觉还是在那个圈里面
624,脑洞很大，网文经典。
625,大东山事件和京都叛乱写的不错，其他都是套路
626,呃……这都写了些啥？出戏。
627,可以三刷
628,讨厌范闲
629,小孩子成长这部分还不错
630,当年追看完的一部小说，挺不错的
631,最爱的是萍萍！
632,看了两遍了，很好的书，权谋的情节也不错，还挺期待影视化的来着，希望不要面目全非啊...
633,当年为了看这本书不知道熬了多少个通宵，这俩年书荒的时候，还时不时的重温一下，小闲闲啊！
634,仍然觉得这是我读过最具伏笔的网络小说之一。
635,完全受不了男主
636,霸道的真气，每次看到这描述，都觉得好好笑。。。还有情节推进真的太慢了，看睡了都要
637,勉强三星，看在网络小说中还不错的情况下。
638,【190415】R 2019-15，说实话没有大道朝天好看，有点看不下去。
640,见面不如闻名的一部小说，大俗穿越文，还是婴儿时期，主角的光环，简直闪瞎人眼无所不能。因为友邻推荐才看的，但确实看了后悔，没想到这么长，没办法，强迫症必须看完，但说实话，真的有点垃圾。
641,"2007年某夜，某个大楼一间办公室里，码字的小哥总是看完猫腻更新后，才开始每夜的收官材料。
十二年后重读，各种滋味自知，细度之，未尝一丝范闲的隔世感觉……"
642,"就长篇网络小说而言打四星一点都不高，主线情节有些拖沓，如果精短一些可以打五星了。
构思新颖，比如主角穿越为一个婴儿，他的母亲也是穿越者，这一点比其他穿越类小说更新颖一些。神庙是上一个文明（现代文明发展若干年毁灭后）遗留下来的军事博物馆，很好的解释了巴雷特狙击枪由来和五竹的特殊。真气是现代文明世界大战后核辐射导致的结果。没有像其他穿越小说，一味地把现代科技搬过去装x，因为能搬的被他妈搬过了，哈哈！
范闲、庆帝、陈萍萍之间的心理和权谋博弈非常精彩，对人物的刻画，心理描述都很立体，尤其是对陈萍萍这个人物的刻画最为深刻。
阅读过程中除了对主线情节进展稍感缓慢，其他都很好，值得一看！"
643,在微信读书上断断续续读完了全本。感觉庆帝是真的厉害。价值观人生观啥的通通没太在意，只是对庆帝利用一切，差点把男主弄死佩服不已。整本书更像是封建思想与现代思想碰撞争执的载体。想来终究是我差了点味，仅仅是读完而已。
644,咋说呢，以为是武侠小说，不过更像古代版王子复仇，外加一开头的穿越设定，和最后的进化出感情的智能侠客。总体还可以。
645,高中看的！好看
646,假
647,把我从玄幻带到文学的引路人
648,夫杀妻，子杀父，与尔生者庆余年
649,大四考研阶段刷的第一遍，读的欲罢不能，特别精彩。
650,一星给朝堂权谋part
651,"庆余年的败笔在穿越的过度金手指。
比起后面的权谋，我更喜欢最初少年的纯真。"
652,好多年了
653,为什么猫腻的书总给人一种看完十年后完全记不起情节的感觉
654,猫腻
655,398万
656,太拖拖拉拉
657,………
658,猫腻到底是谁在吹啊，写的几本看了就是普通的起点网文风格，虽然我初中的时候还挺吃这套的…
659,傻逼
660,"有负盛名，这本书为什么有这么高的评分？
水的不行，文字间浓浓的尴尬气息，尤其是半文不白的句子和那些所谓的现实例子借鉴"
661,猫腻是我比较喜欢的网络作家。我觉得现如今对网络作家的定义不应该被十几年前网络作家初生时的状态局限。很多网络作家可能只是将写作和出版方式网络化而已，他们的故事构造能力和语言表达能力都非常的棒。从近年来影视剧改编自网络小说的情况逐渐增多可以看出，经过一段时间的沉淀，优秀的网络文学作品已经渐渐进入了人们的视线。而猫腻大大，我的猫腻大大，就是这一批网络作家里比较优秀的一位了。庆余年里对于范闲情感变化的描述自然合理，过度顺畅，直到最后他和他爸正面战斗的部分，让读者不会产生伦理上的矛盾感，觉得这样的结果出现，也是必然。
662,记得很早之前就读过，最近又开始读来竟然好多都不记得了。慢慢读，慢慢回想，哦，原来是这样，代入感没有那么强，可能要是我回到那个年代估计分分钟就被弄死了
663,读不下去，弃
664,首页评论那么差，可是评分还是8.3。
665,帝王之气给人印象很深。不同于其他网络小说路线
666,？？？光环牛逼没什么的，但写得还不如都市言情流畅，翻来覆去的二世为人，逼逼叨叨的，弃了
667,算是猫大在网上评价较高的作品，听说过很久，终于下决心读读看——本以为会是一如既往的高水平玄幻文，没想到居然是个架空历史的宫斗故事，我……其实猫腻一贯幽默潇洒的文风在这种戏虐性的宫斗故事里更展得开，主角性格偏模糊，却比陈长生和宁缺都更让人舒服，只可惜这类故事真不是我的菜！就……敬谢不敏好了。
668,补标。烂到捏起鼻子 豆瓣品味成谜
669,范闲，犯嫌，挺讨人喜欢
670,很玄的一部小说！我以为我看的是一个穿越男的励志故事，但是我太片面了。我以为我看的是一个架空历史的朝堂权谋小说，但是我也太片面了。我以为我看的是一部武功高强之人的武侠小说，但是我又太片面了。看到最后，我觉得我可能看的是一部科幻小说！但是还是太片面了。作者牛！佩服脑洞！
671,评论写在第一卷 豆瓣为什么才有6卷 好吧 不是很懂 反正网络文学我看得是电子版 刚开始感觉这是个什么破名字的小说 开始看后真香 开始以为主角只是普通的扮猪吃虎主角光环 没想到啊 没想到 大东山上才是真正序幕的拉开……
672,"从写作者的角度看这本书，能学到很多东西。
另外我必须要表达出对五竹和陈萍萍的喜爱。
以及对叶轻眉的敬佩。"
673,感觉比《将夜》差远了，不喜欢人物设定，也不喜欢文章的风格，看了8%，弃…
674,3星，看不下去了
675,我人生中看过的第一部男频网络小说，4年前看的，由此打开新世界大门
676,读过十遍以上，猫腻小说中最有可读性的一本，虽然有一些典型的网文毛病，但私心是最喜欢的一本，给个五星
677,中间有一段主角下江南有点水，其余部分我觉得还是可以的。
678,"这是我读的第一本网络小树。
因为这本书，我爱上了读架空的玄幻。今日张若昀主演的庆余年有了新闻出来，念旧的我又打开了这本书。
都起来，全是当年十几岁，饭也不吃蜷在床上捧着书看的样子。
再看没有那种心情了，再读到一半，干脆弃了。
罢。"
679,故事讲的非常好
680,一直在追猫腻的书，喜欢
681,没读完
682,没有什么权谋，权谋都是你皇帝老子给的。哪有明目张胆地结党营私的权谋小说啊！也没有什么文青文风啊，笔下拖沓就算了还要抄书，还要诋毁女性。可是秋风秋雨送陈萍萍写得却真是好，猫腻的收尸笔法属陈萍萍这里发挥的最好。而且太子和老二那一堆人的尸收得也相差无几。这真是一本收尸小说啊。可惜了鸡腿姑娘，如果戏份多一点我会更喜欢这本的。
683,猫腻的水准在网文作者里还算有一定水平的
684,男主金手指开得惨无人道，有什么好看的？所有好事都在他身上就是了！
685,太啰嗦了
686,二刷，终于看完整本。可惜烂尾！这是我第一次没看完的原因吗
687,猫腻的书特别喜欢…装逼于无形哈哈哈
688,看了四部，进行不下去了。男人意淫起来比起女性有过之而无不及。
689,晦涩
690,第一本纯铺垫啊。。。由于网上说后面会渐入佳境，强忍弃书的冲动看完了，幸好挺短的。
691,失望，名不副实。真的还不如读历史
692,这么幼稚的文笔和情节，居然这么多人推荐……😨
693,最近看到翻拍的电视要上映了，忽然发现，除了那把狙击枪，那座庙，那个机器人，其他什么的都不记得了，其实，书刚出就看了，但是基本全忘了，和基地这种神作不一样，基地我还记得不少，但这部小说，基本没有了印象。记得当时和舍友在讨论这部小说的时候，他说，这部小说其他都好，就是这个谋略上，过于精准，不符合逻辑。近期在看这部小说的时候，越发觉得这个点评到位，悬空庙刺杀，影子意外伤了范贤，这个还算合情合理，但是，山谷里的狙杀，就太过行险，活着都是一种意外，还有后来陈平平回京那段，怎么可能掐地那么准，刚好碰到偷生的虎卫被发现，这种精准，更像是一种巧合，太多的巧合，当成谋略，就略显失真了。小说总体架构不错，但是细节上，太过神话几个人的谋略，基本忽略了偶然性。所以，给四星！
694,废话太多，我这么耐心的人都没读下去
695,等可能会垮掉的电视剧
696,挺不错的
698,写书的很闲，读书的也很闲。
699,机仆！
700,五星。角色和格局完全可以弥补种马和杰克苏嫌疑。庆帝，一个全文没有名字的角色，帝王心术炉火纯青，还原了一个帝王的真实状态：他是一个符号，一个职位，而非一个真实的人。长公主，玩弄权术的高手，能够与庆帝抗衡的真正女强，她的爱情漂亮却扭曲而揪心。更别说陈萍萍…他的结局真的让我哭惨了，极其精彩的人物。海棠朵朵也是一个极其精彩的女子。范闲那种有世界无国家的观念，情义大于权，为陈萍萍千里赶回，开始真正对抗庆帝那段…这种描写和格局，真的很棒。
701,初中了
702,大学读完的。记录一下，期待影视化。
703,垃圾
704,开挂流水账。大概是看过最自恋zb的小说，只有小颠簸没有真障碍，把抄袭唐诗三百首和红楼引为壮举、美其名曰传播文化成果，物化女性频频引起不适……听说要忍过前15%才会好看起来。好吧。
705,太喜欢了！期待剧版！
706,猫腻最好的书，也是他收尾最漂亮的一本。群像刻画极其出众，汤姆苏本质在叶的光辉下淡化，虽是精神后宫但不越界限。相比之下《朱雀》清新有余而剧情孱弱，《间客》已经出现中二早期的症状，只有《庆》恰到好处，可惜他再也写不出来了。
707,语言的粗制滥造，情节的拖沓，各种奇怪的天马行空，却有着8.2分的高分值！！！
708,二刷了。看网络文学这么多年，值得我重看的小说不多，这是其中一部，就凭作者写出“我希望庆国的人民都能成为不羁之民。受到他人虐待时有不屈服之心，受到灾恶侵袭时有不受挫折之心，若有不正之事时，不恐惧修正之心，不向豺虎献媚，我希望庆国的国民，每一位都能成为王，都能成为统治被称为‘自己‘这块领土的独一无二的王。”这样的话，就值得再看。
709,只记得小五 很久之前的书 情节都忘记了
710,五分都不止啊！！
711,为什么给五分，因为网络小说作家里，我感觉猫腻的文笔算第一流了
713,这破书怎么这么高的评分，都是什么品味的人给高分啊！各种素材杂糅，男主还频开金手指，杰克苏真让人反胃。
714,很精彩，让人不停的往下看。那晚停电，坐在阳台上看了一晚。
716,高中时看的 前半部分还可以 尤其是红衣服的那个人出场时 当时的感受就是竟然还可以这样写 后面就没什么了
718,文笔还可以
719,难得这样优秀的网络文学20160108
720,被yy的太过了……
721,11m大，看得吐血，但又不舍得放弃，最后总算看完了
722,杰克苏男主，读了几章弃。
723,原以为是架空版九王夺嫡，没想到这些继承人被老皇帝引蛇出洞干死了。
724,猫腻的书基本都推荐 文笔惊人 故事编的也好 加上人物刻画 主角配角皆灵
725,第一本还是很欢快的，不过也留下了很多的线索
726,看前面还行，看多了恶心
727,这本书好多年以前看过，一流的穿越小说，写得非常棒。
728,前期确实不错，不过觉得有点烂尾！还有就是该着重描写的时候直接就省略了好多，有的地方却有臭有长，杰克苏，满足男人在古代的意淫，各种的金手指
729,虚构了一个朝代，似乎既有过去，又有现在和未来。人物刻画很饱满，故事展开很宏伟，很有想象力！
730,修真魔幻？？
731,男主这个开了挂的设定还是很狗血的，而且掉书袋的设定也很无语，不过各种人物相继登场还是很让人欣喜，特征鲜明，废话少~
732,YY小说欢乐多
733,微信读书，这册应该已经看完了，真太长了，不知道还要看多久😂
734,4年后重读，深得吾心。
735,2010年暑假 历时两个月 后来2011年终于完结了
736,懒得标记全部了。看的第一本猫腻的小说，除了《将夜》，最喜欢这部。但是，最不喜欢穿越类小说里主角凭着前世记忆装诗文大家，犯恶心。
737,一部充斥着中年直男意淫和俗套情节的书，弃了看不下去了
738,"太长了，如果是在五年前还没见过那么多套路的时候还能惊为神作忍着点隔应的读下去。
写权谋算计确有亮点，虽然部分有为了绕绕而绕绕之嫌（大约这也是剧改保留重点）。男频YY大全。要穿越标配的现代优越思想，要漂亮脸蛋，要“高等”出身，要惊世文才（背唐诗宋词元曲就算了，还要默红楼，佩服佩服👏👏），要绝世武功，要聪明谋略，要所有自认为优秀的女性倾心（pei），还要套路地反套路说自己不是圣人，只想做偶尔心怀国民的自私凡人。男频YY起来跟女频言情不逞多让。"
739,最好卖的故事 一种跟拳头有关 另一种跟枕头有关
740,"喜欢陈萍萍，五竹。
他们爱着恨着经历过，其实也就够了。"
741,废话太多
742,陈萍萍啊陈萍萍20181208
743,高中的时候喜欢看网络小说，看了这本书，一开始挺喜欢的。可是，它太长了！后来总想着什么时候有空了再看再看，结果越长大越不想看了！
744,十年前是考研读物，十年后是开会读物。
745,忍着恶心也读不下去，三体我觉得文笔已经够差了，但起码人家还有些硬货，而庆余年这个故事处处是漏洞经不起任何推敲，人物形象僵硬，千人一面，不管什么角色都像是同一个人的口吻，武功莫名其妙，感情程序化不感人，处处浮夸，文笔味如爵蜡，连鸡肋都不算。
746,浪费时间之大作
747,弃了
748,挺好的，前期慢热，直到看完过了两年，我才明白监察院的意义
749,"两星给个文笔分儿吧
男主就是个穷屌丝在这yy自己的美好生活
妈的一个乖巧的老婆和好几个乖顺的妾
一个保护自己的高手和一个掌权的爹
一群爱慕自己的女性角色
MDZZ
一个劲儿的在讲大道理，烦都烦死了
这文不适合女性看，会引起极度不适"
751,一个系列都看完了 yy的不错 给个三星
752,大学里同学租那种大厚盗版看时见过这本书的封面，2010年以后开始放弃传统文学改读网络文学，后面看了这本书后到现在，网络文学里只剩懒猫的书还在一本不落的看了。设定有点意思，文笔是不错，除了啰嗦。。人物塑造算是懒猫的强项，尤其是配角。
753,结局烂尾烂的够可以的
754,记得的为数不多的几本网络小说之一。
755,网文作者里，猫腻是文笔最好的，毋庸置疑
756,大爱
757,实在是太长了，虽然文字不错，但是进展太慢，看到1/7，忍不住弃了
758,删掉多余的描述，起码可以少一半字
759,"真有那么好,文笔的确是不错"
760,鸽子推荐的书，还可以
761,叶轻眉，你是有多无聊。
762,看的时候很爽，竟然看到乐凌晨4时许，但是看完这本书之后，脑袋空空，啥都没有留存，等于说是浪费时间读这本书。
763,我心中的第一网文，猫腻的巅峰。这座朝堂，这方天下，一对父子，一瘸一瞎，一千黑骑，无数势力，都以一个死去的女人为中心而转。我至今还在怀疑，叶轻眉这彗星般闪耀的传奇，是否真的死在了那个院子？
764,看了三章，实在看不下去了，这男主简直开挂了。
765,语言细腻，就是情节拖沓了点。
766,总得来说是很套路的文，但是我就是比较喜欢看男主天下无敌的爽文啊哈哈哈，第一部还是有点意思的，而且再加上被剧透了男主妈也是穿越者……希望后面的情节也好看吧！
767,因为有推友推荐沃阅读app，随手搜了这本书，然后...我居然把这超长爽文看完了...
768,如果真实的读过并且了解该本小说，你会明白一个在开篇就死去的女人，她在整本小说中无处不在，她留存的政治资产和精神容貌永久的存留于这个古代世间。她的存在改变了这个世界，改变了她周边的人。治国、平天下，叶轻眉也做到了。
769,怎么就能全本复述红楼梦呢？看到这个太排斥！
770,纪念一下曾经中二的岁月23333
771,为了看电视剧 跑来补书 只想说作者是个彻头彻尾的男权主义者吧 对女生无限程度意淫 全天下女的是不是都要喜欢男主才行啊
772,好几年了，准备书荒时重温一下
773,就算两世为人，也就四十几岁，怎么就能算尽世事呢。
774,看到山谷中伏那里后面就没看了，也是没有想看下去的心情
775,~~~
776,再翻庆余年，读起来仍是津津有味。当年纷杂的网络小说里，庆幸是入了老猫的道，才没有一味地走远，所以要给五星。
777,一部《庆余年》，缓缓道来的仿佛是一个异时空的灵魂的再生，却讲尽了这片大陆上几十年的风风雨雨。
778,网文能写成这个样你们还要什么自行车？
779,期望太高结果还是老套路
780,这什么玩意儿？这是十二国记的同人作品吗？台词都出来了？
781,主角光环太夸张了，而且整本书也太特么长了。虽然情节很吸引我，但最后已经没兴趣看作者怎么写的天上有地上无，武打计谋多么厉害，跳着把剧情看完了
782,实在是太长了，情节有些拖沓，男主真的是主角光环太强了，父亲 母亲 师傅 都是牛逼人物，功力加持太厉害了，不知道为啥评分这么高
783,夫杀妻，子弑夫。一个悲伤与残忍的故事却让人感到舒心与安定。
784,看完第一部，我便看不下去了，可能是这些年各种类似的网络小说看多了，再也看不进去浪费时间的网络小说了。。。
785,2018书23:漫长的穿越文，前几部破绽很多，后期略好。对作者能一气写出三百万起表示一下敬意。若非为稻梁谋还是言简意赅些吧。
786,猫腻作品的分水岭吧，前半部还是口水话，垒剧情，后半部明显干净利落了许多。
788,大东山之战和陈萍萍之死确实精彩。但是看完全书却很无语，一身劲都吐没了，最后还是杀了庆帝，一切仿佛是场过家家一般。
789,很早之前看过，这次趁将夜看完，把这部也打分了。总体比将夜好看，不过时间太久，也就剩个粗略感受，细节差不多都忘了……
790,放在我看YY网文的时候也许会是一部神作，现在看来里面的玛丽苏情节/运气好/天才的设定还是没有逃脱网文的一般框架，一直让读者处于高潮般的阅读体验。比起《基督山伯爵》对情节的处理真是相去甚远。再说盛名下的文笔细腻，真是没有感受到。
791,一场盛大的yy，呕吐。
792,呼，终于看完啦～最大的读后感呢，感觉有些高走低开。大东山一战，揭晓庆帝大宗师的身份以及四大宗师大战的反转是整个小说最让人兴奋的一段，再而后是庆帝与范闲二人离心之战，再到最后加五竹的三人撕杀，虚无的神庙原来是文明遗址，让叶轻眉的死有些牵强……但感觉作家还是很强大，篇幅那么大，故事内容很丰富，推荐看🙉
793,讲真的杰克苏到我有点无语，而且特别长，废话太多，看不动了。
794,？？？看电视剧剧照以为是正剧，感觉就是xx文学城新人的yy小说啊，剧情文笔很口水，第九章弃，不知道剧组怎么选上它的。
795,"原本以为这只是一本简单的穿越文，雷同的套路和情节。开头并不喜欢，但是整体的故事架构很完整，主角的成长确实有先天有利条件，但随着剧情的展开，那些帮助成长的条件也在一步步中掣肘着主角。同时作者也藉由主角抒发自己对于世界的感悟和理想。
整套书的精彩集中在最后两本书中，都是打斗戏，不是说前面的不好，正因为长长的铺垫，才使得精彩呈现。但是若作者将全书再删减和修改约三分之一的内容的话，会更紧凑精彩。"
796,很符合其网络小说的身份，不得不说是网络小说里的佳作，轻松却包含了哲理，不是简单的打怪升级，当然也有一定的局限性。
797,抄袭十二国记的事，小野不由美和你的读者知道么……
798,读不下去了，中途弃
799,一个极度贴合一个时代有没有一个时代概念，又捎带各种不同人性的对碰。
800,过了十几年还能把红楼梦写出来，佩服啊。
801,最美好的人应该就是叶轻眉了。主人公的人格太过虚伪，文笔emmm行吧
802,废话太多的时候，就会让原本铺垫的坑自己已经被填平了，少了很多猜想和惊喜。至少到目前为止的这两卷，基本没有藏的深的坑了。只想看下叶轻眉除了内库和监察院，还有什么。
803,别看，最大的亮点是文字好点，阴谋情节、人物刻画都不值得浪费太多时间。// 刚开始是看不进去，后来觉得还行，评网络小说还是要降低些期望。
804,后面差一点就被猫腻习惯性烂尾了。幸好幸好。是猫腻最好的书了。
805,四星有余，五星不足
806,如果没有最后一章，我能够给到四星。但是最后一卷看的我真是太难受了。范闲的各种论点根本站不住脚，一会儿说一对一，然后就拉上人一起；然后还所谓各种借势。一会儿说想要太平少死点人，然后组织了死了十几万人的吞并战争。真是各种莫名其妙看不懂。最后一卷我好多都是跳着看的，真是有点看不下去了。什么我死后哪管他洪水滔天，什么只求自己活着的时候太平盛世，真是牵强附会，强行为自己找一个论点。包括什么世界毁灭乱七八糟的理论我也有点受不了……你还不如说真的有神让我更加能够接受一点。最后，只能给到三星吧。但是看看电视剧应该没有这些脑残设定，还是有点期待的。
807,为啥差评那么多-_-
808,读不下去了
809,满级转世也是蛮轻松的哄
